what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581360120
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textEnd",1332581361057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332581365916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581367448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581368495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581372526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581374120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332581376745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332581381557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581383682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332581386463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581390104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332581391791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581393245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332581394885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332581396807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332581398151
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332581415213
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332581415229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581416573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581541370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1332581544791
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1332581556135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581579823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581583245
error,log,,,"Unhandled event loop exception",1332581583463
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332581584166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581595979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581597635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581597916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581597948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581598682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332581599120
